,Jurisdiction,Date,Cumulative Case Rate,Percent
32265,Mercer,2020-04-12,39.3,0.5505666774071531
37123,Wayne,2020-04-12,114.9,1.6096720415796921
34488,Jefferson,2020-04-12,4.6,0.06444291898404338
39504,Washington,2020-04-12,33.4,0.4679116291450106
43180,Franklin,2020-04-12,43.2,0.6052030652414508
31958,Lancaster,2020-04-12,153.2,2.1462293887729227
46122,Centre,2020-04-12,43.1,0.6038021322200586
45034,Greene,2020-04-12,63.5,0.889592468584077
48113,Clarion,2020-04-12,41.6,0.5827881368991749
12761,Forest,2020-04-12,96.6,1.353301298664911
10155,Cameron,2020-04-12,22.5,0.31520992981325563
12753,Susquehanna,2020-04-12,74.4,1.0422941679158322
10139,Indiana,2020-04-12,51.1,0.7158767739314383
12722,Mifflin,2020-04-12,30.3,0.42448270548185096
38633,Butler,2020-04-12,73.5,1.0296857707233018
20336,Bucks,2020-04-12,191.0,2.6757820708591926
11901,Huntingdon,2020-04-12,24.4,0.34182765721970837
12650,Wyoming,2020-04-12,44.8,0.6276179935837268
46039,Clinton,2020-04-12,20.7,0.2899931354281952
12582,Potter,2020-04-12,24.2,0.33902579117692383
47714,York,2020-04-12,76.4,1.0703128283436771
34862,Tioga,2020-04-12,32.0,0.44829856684551916
44161,Bradford,2020-04-12,31.5,0.4412939017385579
27530,Schuylkill,2020-04-12,136.5,1.9122735742004175
47401,Allegheny,2020-04-12,72.2,1.0114736414452026
46494,Dauphin,2020-04-12,86.6,1.2132079965256861
47183,Lackawanna,2020-04-12,218.4,3.0596377187206683
13118,Snyder,2020-04-12,66.9,0.9372241913114135
41111,McKean,2020-04-12,9.8,0.13729143609644026
30499,Columbia,2020-04-12,177.0,2.4796514478642777
41065,Adams,2020-04-12,54.4,0.7621075636373825
47228,Carbon,2020-04-12,160.5,2.248497499334557
13349,Juniata,2020-04-12,169.6,2.3759824042812516
42623,Lawrence,2020-04-12,63.1,0.8839887364985081
6261,Bedford,2020-04-12,10.4,0.14569703422479371
4863,Monroe,2020-04-12,482.8,6.76370462728177
40880,Northampton,2020-04-12,375.1,5.25489976324232
22717,Delaware,2020-04-12,301.2,4.219610260433449
6366,Sullivan,2020-04-12,16.5,0.23115394852972082
10837,Fulton,2020-04-12,6.9,0.09666437847606507
35013,Berks,2020-04-12,274.2,3.841358344657542
36687,Montour,2020-04-12,197.5,2.7668427172496886
8352,Montgomery,2020-04-12,281.3,3.940824589176392
45503,Perry,2020-04-12,36.7,0.5141424188509548
40328,Crawford,2020-04-12,20.1,0.28158753729984176
43828,Lehigh,2020-04-12,473.0,6.62641319118533
44082,Lebanon,2020-04-12,203.8,2.8551014975974
46726,York,2020-04-13,84.6,1.1220456776041803
7813,Indiana,2020-04-13,51.1,0.67773680999496
4071,Philadelphia,2020-04-13,459.8,6.098304994827448
13340,Cambria,2020-04-13,10.8,0.14323987373670388
13055,Juniata,2020-04-13,185.8,2.464256346322183
34028,Carbon,2020-04-13,162.0,2.148598106050558
31671,Lebanon,2020-04-13,234.8,3.1141409586461175
48195,Clearfield,2020-04-13,12.6,0.16711318602615452
43302,Pike,2020-04-13,474.8,6.297249263906203
31753,Jefferson,2020-04-13,4.6,0.06100957585081831
12746,Bedford,2020-04-13,10.4,0.13793469322793706
43055,Franklin,2020-04-13,45.2,0.5994853974906496
12358,Forest,2020-04-13,96.6,1.2812010928671846
42968,Mercer,2020-04-13,40.2,0.5331706411310645
32525,Delaware,2020-04-13,317.6,4.2123133239608475
42917,Somerset,2020-04-13,17.7,0.23475423751293134
46252,Mifflin,2020-04-13,30.3,0.40186742353908583
42861,Adams,2020-04-13,61.2,0.811692617841322
6009,Northumberland,2020-04-13,57.2,0.7586408127536538
12260,Warren,2020-04-13,2.6,0.034483673306984264
12247,Huntingdon,2020-04-13,24.4,0.3236160110347754
43812,Luzerne,2020-04-13,477.6,6.334385527467571
32912,Butler,2020-04-13,74.0,0.9814583941218599
42345,Cumberland,2020-04-13,49.3,0.6538634977055093
12088,Fulton,2020-04-13,13.8,0.18302872755245495
13231,Armstrong,2020-04-13,43.3,0.5742857900740072
